"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"RPP","WSY",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","WSY",10,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","WSY",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","WSY",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","WSY",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","WSY",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","WSY",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","WSY",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WDB","WSY",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WNS","WSY",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WOG","WSY",12,12,TRUE,"Spring 2026 Nesting Period_Communities"
"WPG","WSY",12,12,TRUE,"Spring 2026 Nesting Period_Communities"
"CRY","WYD",1,10,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","WYD",2,10,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","WYD",1,10,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","WYD",3,10,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","WYD",4,10,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","WYD",5,10,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","WYD",4,10,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","WYD",6,10,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","WYD",7,10,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","WYD",8,10,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","WYD",9,10,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","WYD",5,10,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","WYD",10,10,TRUE,"Spring 2026 Nesting Period_Communities"
"SDO","WYD",11,10,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","WYD",8,10,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","WYD",8,10,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","WYD",7,10,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","WYD",11,10,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","WYD",4,10,FALSE,"Spring 2026 Nesting Period_Communities"
"WDB","WYD",3,10,FALSE,"Spring 2026 Nesting Period_Communities"
"WNS","WYD",2,10,FALSE,"Spring 2026 Nesting Period_Communities"
"WOG","WYD",12,10,FALSE,"Spring 2026 Nesting Period_Communities"
"WPG","WYD",12,10,FALSE,"Spring 2026 Nesting Period_Communities"
"WSY","WYD",12,10,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","YBN",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","YBN",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","YBN",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","YBN",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","YBN",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","YBN",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","YBN",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","YBN",6,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","YBN",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","YBN",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","YBN",9,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","YBN",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","YBN",10,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","YBN",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","YBN",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","YBN",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","YBN",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","YBN",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","YBN",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WDB","YBN",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WNS","YBN",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WOG","YBN",12,12,TRUE,"Spring 2026 Nesting Period_Communities"
"WPG","YBN",12,12,TRUE,"Spring 2026 Nesting Period_Communities"
"WSY","YBN",12,12,TRUE,"Spring 2026 Nesting Period_Communities"
"WYD","YBN",10,12,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","YDW",1,2,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","YDW",2,2,TRUE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","YDW",1,2,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","YDW",3,2,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","YDW",4,2,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","YDW",5,2,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","YDW",4,2,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","YDW",6,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","YDW",7,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","YDW",8,2,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","YDW",9,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","YDW",5,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","YDW",10,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","YDW",11,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","YDW",8,2,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","YDW",8,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","YDW",7,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","YDW",11,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","YDW",4,2,FALSE,"Spring 2026 Nesting Period_Communities"
"WDB","YDW",3,2,FALSE,"Spring 2026 Nesting Period_Communities"
"WNS","YDW",2,2,TRUE,"Spring 2026 Nesting Period_Communities"
"WOG","YDW",12,2,FALSE,"Spring 2026 Nesting Period_Communities"
